Name,Category,TVL,1d Change,7d Change,1m Change,Mcap/TVL,Fees 24h,Revenue 24h,Holders Revenue 24h,Incentives 24h,Fees 7d,Revenue 7d,Holders Revenue 7d,Incentives 7d,Fees 30d,Revenue 30d,Holders Revenue 30d,Incentives 30d,Fees 1Y,Monthly Avg 1Y Fees,Revenue 1Y,Holders Revenue 1Y,Monthly Avg 1Y Rev,Monthly Avg 1Y Holders Revenue,Incentives 1Y,Monthly Avg 1Y Incentives,Cumulative Fees,Cumulative Revenue,Cumulative Holders Revenue,Cumulative Incentives,P/F,P/S,Earnings 24h,Earnings 7d,Earnings 30d,Earnings 1Y,Monthly Avg 1Y Earnings,Cumulative Earnings,Spot Volume 24h,Spot Volume 7d,Spot Change 7d,Spot Cumulative Volume
"""Meteora""",,497837937.09431946,,,,0.23,1149297,102163,0,,10259053,1024562,0,,98329426,12851170,0,,1160310176,108861916.87851708,60811368,12684595,7417668.1616672035,1354803.7607017546,,,1365990581,60886897,12684595,,0.1,0.76,102163,1024562,12851170,60811368,7417668.1616672035,60886897,378699010,2522592973,505.97,299217661814
"""Quickswap""",,485303406.96767575,,,,0.01,13768,684,547,0,865820,133633,106904,0,2371513,357405,285920,0,33206597,2803957.2391812317,5222894,4093591,435575.05030136986,341394.27408219175,0,0,212027569,33011637,26308511,0,0.26,1.69,684,133633,357405,5222894,435575.05030136986,33011637,16473954,326778687,24.700000000000006,99745119771
"""Yearn""",,480643092.89796865,-1.8820608395104206,-9.0825668984634,-13.839614133264405,0.2,17955,877,0,0,190849,17326,0,0,782918,55348,0,0,18176357,1515858.3755616439,1616332,0,134797.6604931507,0,0,0,144682963,18845266,0,0,10.65,150.67,877,17326,55348,1616332,134797.6604931507,18845266,,,,
"""SUN""",,477426912.7397883,0.5832739065209761,-2.1684545689069816,-2.525101085258953,0.74,51344,2302,,0,197260,5953,,0,736598,39763,,0,21248190,1772040.8317808218,699330,,58322.20602739726,,0,0,53656968,6329215,,0,40.23,745.34,2302,5953,39763,699330,58322.20602739726,6329215,90945697,466368139,55.94,143500727757
"""Renzo""",Liquid Restaking,472312235.38428664,-3.152879243717234,-27.454045532002475,-28.59790918950752,0.03,2219,306,86,0,187343,20385,10460,0,1375487,141829,71123,0,28109196,2344229.9349041097,2320155,1670002,193494.5704109589,282415.8937777778,0,,44666510,3667227,1670002,0,0.99,9.64,306,20385,141829,2320155,193494.5704109589,3667227,,,,
"""Hyperliquid""",,439269620.75488913,-1.6262325482814401,9.18696982607406,-6.940311580218829,17.99,3732020,3385716,3385716,694560.8129650059,26426378,23983691,23983691,2403803.359941027,78261819,70455493,70455493,8517617.768136248,989208861,82990445.67815101,896296827,896296827,75160538.33024794,75160538.33024794,128905077.16071959,10750330.270609053,1056093506,959326766,959326766,144550937.87563878,8.42,9.35,2691155.1870349944,21579887.640058972,61937875.23186375,767391749.8392804,64410208.05963889,814775828.1243613,345233535,1925484687,115.96,135318344841
"""Fira""",Lending,418914014.4871925,-0.008722991800714956,1698.598775430633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Polymarket""",Prediction Market,406532029.72711957,8.148866444755248,9.906845376849907,42.52405990590648,,142767,97710,,,763992,501101,,,2859258,1728605,,,2859258,239109.37780219782,1728605,,144556.9675824176,,,,3064236,1826315,,,,,97710,501101,1728605,1728605,144556.9675824176,1826315,129535530,828128093,4.13,18777983920
"""Tydro""",Lending,404639451.21114445,2.204299017241103,-14.57401140055658,-7.465626200968566,,23993,2782,,,190235,21777,,,681902,80421,,,1591354,432507.28357142856,182289,,49543.54607142857,,,,1615347,185071,,,,,2782,21777,80421,182289,49543.54607142857,185071,,,,
"""Aster""",,401469840.8766222,-0.29789425202053454,-11.106671239086035,-10.42082537239396,3.46,876516,,0,,7463255,,4067559,,28490568,,11949835,,405051101,33780152.094356164,,11949835,,0,,,422873706,,11949835,,4.07,,,,,,,,97085001,737658876,64.77,22082737746
"""Symbiotic""",Restaking,399721823.78085,-2.9676508931170913,-24.834135190953226,-30.01687374225504,,18,0,,,5776,0,,,33416,0,,,1385037,115508.2911780822,0,,,,,,1385055,0,,,,,,,,,,,,,,
"""Defi Saver""",CDP Manager,399667791.45730364,,,,,18172,18172,,,913315,913315,,,1093698,1093698,,,4812038,401310.7855342466,4812038,,401310.7855342466,,,,18811624,18811624,,,,,18172,913315,1093698,4812038,401310.7855342466,18811624,,,,
"""Lightning Network""",Payments,399438261.5484587,-3.9198732710580253,-15.602718027471276,-18.140710758889316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Bedrock""",,398014560.932606,-2.625427407145371,-15.289075271989708,-19.055064271218207,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Threshold Network""",,380730590.04340976,-19.629075820836245,-28.820731970659608,-31.432191917357233,0.23,40,40,0,,10287,10287,0,,69877,69874,0,,1717473,143232.54279452056,1714222,0,143323.1307519026,0,,,2562661,2552614,0,,106.94,106.94,40,10287,69874,1714222,143323.1307519026,2552614,,,,
"""Stader""",Liquid Staking,368485566.47301567,-4.61594110475672,-25.879692396550265,-33.58594485065054,0.03,40458,2174,1087,0,167237,8486,4241,0,918322,47092,23547,0,11545467,962860.3163835617,594119,297059,49547.89687671233,24773.90673972603,0,,12907618,662926,331419,0,1.11,21.59,2174,8486,47092,594119,49547.89687671233,662926,,,,
"""HyperLend""",Lending,363742416.46031636,-0.2163870654336395,4.205655527831184,21.510710679224285,,79,13,,,138187,21444,,,434172,66965,,,7526429,725831.6631492464,1327244,,127955.26317672626,,,,7526508,1327257,,,,,13,21444,66965,1327244,127955.26317672626,1327257,,,,
"""Aerodrome""",,363658667.19679755,-5.4143695797202485,-21.596225434917073,-26.0707808326189,0.94,328847,328847,328847,0,2226444,2226444,2226444,1785531.5929379743,7383825,7383825,7383825,8116892.788015329,149142617,12465590.384171009,145077889,144894583,12355008.921505729,12388023.289871,218301953.65189704,18458642.969899297,301023339,296958611,296775305,795989401.0628433,3.88,3.88,328847,440912.40706202574,-733067.7880153293,-73224064.65189704,-6103634.048393568,-499030790.0628433,598421652,3427522345,63.98,334376250846
"""BounceBit CeDeFi Yield""",Basis Trading,359586536.49883044,-3.2921968414043365,-13.803532677789784,-15.96035678537287,,13254,3976,,,100882,30265,,,449593,134881,,,10601916,884170.7480547945,3180597,,265253.07583561644,,,,16721958,5016614,,,,,3976,30265,134881,3180597,265253.07583561644,5016614,,,,
"""CIAN Protocol""",,353119275.2632249,-1.4581424733988142,-7.684734986579084,-34.86435676711454,,0,0,,,13687,1095,,,19719,1578,,,1791223,149383.09073972603,143295,,11950.410410958904,,,,2263805,181104,,,,,,1095,1578,143295,11950.410410958904,181104,,,,
"""BitFi""",,342175630.6909465,-3.6980570713959278,-15.14696581026868,-17.710771418772534,,18,18,,,65,65,,,245,245,,,2924948,243932.64964383564,2924948,,243932.64964383564,,,,2924966,2924966,,,,,18,65,245,2924948,243932.64964383564,2924966,,,,
